postId,accountName,status,imagesDownloaded,imagesFailed,error
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_5674404152613658,"The Star Sydney Poker",fixed,2,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1248581876473755,"Poker Palace Australia",fixed,1,0,
5a94c0cc-6a42-4d23-b8a2-fa2ad7c07828_112289674918260_121002344060310,"Kings Room",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_869390051895292,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1191700419664252,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1634932611172011,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1301059891225953,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1591808968817709,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1365000031498605,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1231940495640244,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_5815726095148129,"The Star Sydney Poker",fixed,2,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1420997985898809,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_850232103811087,"The Star Sydney Poker",fixed,1,0,
5a94c0cc-6a42-4d23-b8a2-fa2ad7c07828_112289674918260_125576766936201,"Kings Room",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1224759819691645,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1445874253411182,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_5861840483870023,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1455338955798045,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1286800805985195,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1228821679285459,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1336654870999788,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1241498267182116,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1538613357470604,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1412802433385031,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1180417457459215,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1240560957275847,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1100199802147648,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1335832011082074,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_5927885007265570,"The Star Sydney Poker",fixed,2,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1192492062918421,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1131660372334924,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1573550843976855,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1278085663523376,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1484685956196678,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_797580835742881,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1339807394017869,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1514525349879405,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_813257717508526,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_850231430477821,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1088340393333589,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_681715787329387,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1130757622425199,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1153804110120550,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1617565186242087,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_866850005482630,"The Star Sydney Poker",fixed,3,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1230123612488599,"The Star Sydney Poker",fixed,5,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1149891787178449,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1073148454852783,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1662905085041430,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1594288458569760,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1579622933369646,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1407923050539636,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1121061196728175,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_906579044843059,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1421818975816710,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1303596787638930,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1391929878805620,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_5849603085093763,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_859746632859634,"The Star Sydney Poker",fixed,1,0,
FACEBOOK_112289674918260_854272257399978,"Kings Room",pending,0,1,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1208283688005925,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1325265888805353,"Poker Palace Australia",fixed,1,0,
5a94c0cc-6a42-4d23-b8a2-fa2ad7c07828_112289674918260_125477453612799,"Kings Room",fixed,4,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1673888357276436,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1457771445554796,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1378371350161473,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1308983577935935,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1474403193891621,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1616569513008321,"Poker Palace Australia",fixed,1,0,
5a94c0cc-6a42-4d23-b8a2-fa2ad7c07828_112289674918260_863823749778162,"Kings Room",pending,0,1,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1043609874473308,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_861140949386869,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1643864336945505,"Poker Palace Australia",fixed,1,0,
FACEBOOK_112289674918260_852570967570107,"Kings Room",pending,0,1,
5a94c0cc-6a42-4d23-b8a2-fa2ad7c07828_112289674918260_863475639812973,"Kings Room",pending,0,1,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_804773235023641,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_860663349434629,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1676198580378747,"Poker Palace Australia",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1593676301964309,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1131553689012259,"The Star Sydney Poker",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1140936981407263,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1485157769482830,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_865519952282302,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1547270416604898,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_661204986047134,"The Star Sydney Poker",fixed,3,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_1232314835602810,"The Star Sydney Poker",fixed,1,0,
bd7730a8-6a81-4ddf-a6c7-1d1a1c2a8f90_554057605040938_1639807730684499,"Poker Palace Australia",fixed,1,0,
4ec16dcd-19db-426c-8314-b4739cbeafaa_214767308577397_6057775260943210,"The Star Sydney Poker",fixed,1,0,
